OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,SalesAmount
1001,12/16/2024,711,56,4,,
1002,2/18/2023,74,987,2,,
1003,2/23/2024,283,286,9,,
1004,3/27/2024,759,41,2,,
1005,8/7/2024,208,884,10,,
1006,6/18/2024,893,546,10,,
1007,2/10/2025,933,412,8,,
1008,11/19/2024,606,279,6,,
1009,11/11/2023,287,105,2,,
1010,8/14/2024,286,772,3,,
1011,11/17/2023,896,757,9,,
1012,1/3/2023,379,976,8,,
1013,1/9/2024,49,386,2,,
1014,2/22/2025,955,490,5,,
1015,2/13/2024,632,853,3,,
1016,5/16/2024,255,660,8,,
1017,6/6/2023,925,680,8,,
1018,3/20/2023,714,218,4,,
1019,6/15/2023,554,152,10,,
1020,6/27/2023,135,519,6,,
1021,12/22/2024,656,672,10,,
1022,9/19/2023,278,645,2,,
1023,1/25/2025,924,411,1,,
1024,2/6/2023,300,534,5,,
1025,5/18/2023,747,776,10,,
1026,12/10/2024,972,34,9,,
1027,7/14/2023,454,922,2,,
1028,3/4/2024,99,549,8,,
1029,9/25/2023,37,12,4,,
1030,12/25/2023,315,475,9,,
1031,10/27/2024,566,248,8,,
1032,5/21/2023,96,775,1,,
1033,2/19/2025,199,300,9,,
1034,6/3/2025,743,65,9,,
1035,2/21/2025,595,140,8,,
1036,8/20/2024,694,84,10,,
1037,12/18/2023,285,138,7,,
1038,3/25/2023,174,925,9,,
1039,11/7/2023,749,681,6,,
1040,3/25/2023,672,453,8,,
1041,1/3/2023,24,497,6,,
1042,6/20/2025,128,866,9,,
1043,11/10/2023,168,190,10,,
1044,7/22/2023,398,123,4,,
1045,4/15/2024,628,668,9,,
1046,12/25/2024,46,914,6,,
1047,8/9/2024,664,31,1,,
1048,6/21/2025,900,404,1,,
1049,6/22/2024,643,127,4,,
1050,12/7/2024,585,432,2,,
1051,6/12/2024,700,164,2,,
1052,3/16/2024,568,948,6,,
1053,8/18/2023,830,481,10,,
1054,10/18/2023,585,251,9,,
1055,1/19/2025,357,865,9,,
